Obs Day,Obs Date,Video Name,,Interaction_by_date,Interaction,Aggressor,Receiver,time_sec,Time (side video min:sec),interaction type,,(Video) time started observing,(Video) time stopped observing,,NOTES!!!
1,,,,76,76,WTDB,DBWT,1323,9:49,DISPLACEMENT,,,,,
1,,,,77,77,WTDB,DBLB,1326,9:52,DISPLACEMENT,,,,,
1,10/222018,GP020113,,78,78,DBWT,DBLG,1724,2:04,PECK,,,,,
1,,,,79,79,WTDB,DBLB,1781,3:01,PECK,,,,,
1,,,,80,80,DBLG,DBWT,1869,4:29,TAIL BITE,,,,,
1,,,,81,81,DBLG,WTLG,1874,4:34,DISPLACEMENT,,,,,NOT SURE
1,,,,82,82,DBLG,DBWT,1879,4:39,TAIL BITE,,,,,
1,,,,83,83,DBDB,WTDB,2010,6:50,PECK,,,,,
1,,,,84,84,DBDB,WTLG,2011,6:51,BILL FENCING,,,,,
2,10/23/2018,GOPR0114,,1,85,XXX,WTLG,162,2:42,PECK,,,,,
2,,,,2,86,WTDB,DBLB,554,9:14,PECK,,,,,PECK THEN DISPLACEMENT
2,,,,3,87,WTDB,DBLG,555,9:15,DISPLACEMENT,,,,,NOT SURE
2,,,,4,88,WTDB,DBLB,556,9:16,DISPLACEMENT,,,,,PECK THEN DISPLACEMENT
2,,,,5,89,WTDB,DBLG,559,9:19,BILL FENCING,,,,,
2,,,,6,90,WTDB,DBDB,576,9:36,DISPLACEMENT,,,,,
2,,,,7,91,WTDB,DBLB,577,9:37,DISPLACEMENT,,,,,
2,,,,8,92,WTDB,DBLB,579,9:39,PECK,,,,,
2,,,,9,93,WTDB,DBLG,583,9:43,DISPLACEMENT,,,,,
2,,,,10,94,WTDB,DBLG,608,10:08,DISPLACEMENT,,,,,
2,,,,11,95,WTDB,DBLG,621,10:21,DISPLACEMENT,,,,,
2,,,,12,96,WTDB,DBWT,621,10:21,DISPLACEMENT,,,,,
2,,,,13,97,WTDB,DBLG,630,10:30,DISPLACEMENT,,,,,BILL FENCING THEN DISPLACEMENT
2,,,,14,98,WTDB,DBLG,636,10:36,BILL FENCING,,,,,
2,,,,15,99,WTDB,DBLG,644,10:44,DISPLACEMENT,,,,,
2,,,,16,100,WTDB,DBWT,659,10:59,DISPLACEMENT,,,,,
2,,,,17,101,WTDB,DBWT,666,11:06,DISPLACEMENT,,,,,
2,,,,18,102,WTDB,WTLG,668,11:08,BILL FENCING,,,,,TIE???
2,,,,19,103,WTDB,DBLG,682,11:22,DISPLACEMENT,,,,,
2,,,,20,104,WTDB,DBWT,688,11:28,DISPLACEMENT,,,,,
2,,,,21,105,WTDB,DBLG,690,11:30,DISPLACEMENT,,,,,
2,,,,22,106,WTDB,DBWT,693,11:33,DISPLACEMENT,,,,,NOT SURE
2,,,,23,107,WTDB,DBWT,703,11:43,DISPLACEMENT,,,,,
2,,,,24,108,WTDB,DBLG,707,11:47,DISPLACEMENT,,,,,
2,,,,25,109,WTDB,DBWT,725,12:05,DISPLACEMENT,,,,,
2,,,,26,110,WTDB,DBWT,740,12:20,DISPLACEMENT,,,,,
2,,,,27,111,WTDB,DBWT,748,12:28,DISPLACEMENT,,,,,
2,,,,28,112,WTDB,XXX,752,12:32,DISPLACEMENT,,,,,RECEIVER MIGHT BE DBWT
2,,,,29,113,WTDB,DBLG,757,12:37,DISPLACEMENT,,,,,
2,10/23/2018,GP010114,,30,114,WTDB,XXX,767,0:05,DISPLACEMENT,,,,,
2,,,,31,115,WTDB,DBWT,783,0:21,PECK,,,,,
2,,,,32,116,WTDB,XXX,824,1:02,DISPLACEMENT,,,,,RECEIVER MIGHT BE DBDB
2,,,,33,117,WTDB,XXX,825,1:03,DISPLACEMENT,,,,,
2,,,,34,118,DBLB,WTLG,825,1:03,BILL FENCING,,,,,
2,,,,35,119,DBLB,DBWT,872,1:50,DISPLACEMENT,,,,,
2,,,,36,120,DBLB,DBWT,873,1:51,BILL FENCING,,,,,TIE??
2,,,,37,121,DBLB,WTLG,882,2:00,DISPLACEMENT,,,,,
2,,,,38,122,WTDB,DBLG,1076,5:14,DISPLACEMENT,,,,,
2,,,,39,123,DBLB,WTLG,1080,5:18,DISPLACEMENT,,,,,
2,,,,40,124,WTDB,DBWT,1089,5:27,DISPLACEMENT,,,,,UNSURE
2,,,,41,125,DBLB,WTLG,1089,5:27,DISPLACEMENT,,,,,
2,,,,42,126,DBLG,WTLG,1101,5:39,TAIL BITE,,,6:19,,
NA,,,,43,127,WTLG,XXX,NA,NA,NA,,,,,
